0,Volkswagen Parts Distribution Center,Ontario,CA,3095 E Cedar St,"Ontario, CA 91761","34.0376080290585, -117.58641507359258",30456,1,511
1,Volkswagen Parts Distribution Center,Rocklin,CA,1100 Tinker Rd,"Rocklin, CA 95765, United States","38.81328171265908, -121.30150120229099",18360,1,511
2,Volkswagen Parts Distribution Center,Jacksonville,FL,4150 Perimeter Industrial Pkwy N,"Jacksonville, FL 32219, United States","30.373771993405768, -81.75890718718041",362670,2,447
3,Volkswagen Parts Distribution Center,Cranbury,NJ,47 Station Rd,"East Windsor, NJ 08512, United States","40.3071068545627, -74.50867073108051",103200,2,519
4,Volkswagen Regional Distribution Center,Lenoir City,TN,2560 Buttermilk Rd W,"Lenoir City, TN 37771, United States","35.88214676007374, -84.3612681600479",45000,1,411
5,Volkswagen Group of America Parts Distribution Center,Ft. Worth,TX,230 Intermodal Pkwy,"Fort Worth, TX 76177, United States","32.96678488424622, -97.32814574044846",55954,1,439
6,Volkswagen Parts Distribution Center,Pleasant Prairie,WI,11589 88th Ave,"Pleasant Prairie, WI 53158, United States","42.5108270307348, -87.91110551996559",23217,1,419
